,Mean,STD,Min,Max,Median
Technical/Engineering,2.3214285714285716,1.988105656790932,1.0,11.0,2.0
Management/Leadership,1.9329446064139941,1.2949042344724735,1.0,9.0,2.0
Administrative,1.4963144963144963,1.1615181077544836,1.0,13.0,1.0
Marketing/Sales,2.54978354978355,2.724428531364114,1.0,16.0,1.0
Customer Service,2.1610169491525424,1.650669049605839,1.0,10.0,2.0
Research,4.358381502890174,3.957283012159474,1.0,25.0,3.0
Production,3.1313131313131315,2.775300560712876,1.0,14.0,2.0
Quality Assurance,1.8787185354691076,1.4195328750825222,1.0,13.0,1.0
Human Relations,1.41,1.4777473984877707,1.0,12.0,1.0
Finance/Accounting,1.4864864864864864,1.4068642216543317,1.0,9.0,1.0
Information Technology,1.7346938775510203,1.303449113635333,1.0,7.0,1.0
Maintenance/Repair,4.974958263772955,4.911699290775479,1.0,30.0,3.0
Logistics/Supply Chain,2.048,2.3071601487125313,1.0,19.0,1.0
Creative/Design,3.049149338374291,3.0027519313736075,1.0,25.0,2.0
Education/Training,2.71513353115727,3.050494114440382,1.0,17.0,1.0
Health/Medical,5.434250764525994,5.8578080637007375,1.0,27.0,2.0
Legal/Compliance,2.6466165413533833,2.638701586222423,1.0,18.0,2.0
Project Management,1.2839506172839505,0.7455630070831465,1.0,5.0,1.0
Security/Safety,3.0511727078891258,3.4115101347636982,1.0,23.0,2.0
Environment/Sustainability,2.247422680412371,2.223431171128799,1.0,16.0,1.0
Data Science/Analysis,1.5575757575757576,1.1809024822479852,1.0,8.0,1.0
